policy,sid,turn,arrival_s,node,history_blocks,local_hbm_prefix,recovery,ttft_s,slo_success,seed
on_demand,23,0,0.5,0,0,0,hit,0.4166666666666667,1,1
on_demand,24,0,0.5,1,0,0,hit,0.5416666666666666,1,1
on_demand,47,0,0.5,2,0,0,hit,0.5,1,1
on_demand,42,0,1.5,0,0,0,hit,0.5,1,1
on_demand,46,0,1.5,2,0,0,hit,0.6666666666666666,1,1
on_demand,10,0,2.0,1,0,0,hit,0.5,1,1
on_demand,14,0,2.0,3,0,0,hit,0.4583333333333333,1,1
on_demand,3,0,3.5,0,0,0,hit,0.6666666666666666,1,1
on_demand,31,0,4.0,1,0,0,hit,0.5416666666666666,1,1
on_demand,37,0,5.0,0,0,0,hit,0.3333333333333333,1,1
on_demand,21,0,6.5,0,0,0,hit,0.5833333333333334,1,1
on_demand,2,0,7.0,1,0,0,hit,0.3333333333333333,1,1
on_demand,26,0,7.0,2,0,0,hit,0.3333333333333333,1,1
on_demand,18,0,8.0,0,0,0,hit,0.6666666666666666,1,1
on_demand,20,0,9.5,0,0,0,hit,0.4166666666666667,1,1
on_demand,32,0,11.0,0,0,0,hit,0.625,1,1
on_demand,38,0,11.0,1,0,0,hit,0.5,1,1
on_demand,19,0,11.5,2,0,0,hit,0.375,1,1
on_demand,11,0,12.0,3,0,0,hit,0.5833333333333334,1,1
on_demand,28,0,14.0,0,0,0,hit,0.625,1,1
on_demand,40,0,14.0,1,0,0,hit,0.375,1,1
on_demand,46,1,15.0,2,21,21,hit,0.3333333333333333,1,1
on_demand,29,0,16.5,0,0,0,hit,0.6666666666666666,1,1
on_demand,26,1,17.0,2,13,13,hit,0.2916666666666667,1,1
on_demand,3,1,19.5,0,21,16,restore,0.4285714285714286,1,1
on_demand,44,0,20.5,1,0,0,hit,0.5416666666666666,1,1
on_demand,12,0,21.5,0,0,0,hit,0.4583333333333333,1,1
on_demand,15,0,21.5,2,0,0,hit,0.625,1,1
on_demand,18,1,21.5,0,23,23,hit,0.8666666666666648,1,1
on_demand,11,1,22.0,3,20,20,hit,0.20833333333333334,1,1
on_demand,17,0,22.5,1,0,0,hit,0.625,1,1
on_demand,0,0,23.5,0,0,0,hit,0.5,1,1
on_demand,5,0,25.0,0,0,0,hit,0.4166666666666667,1,1
on_demand,38,1,25.5,1,18,18,hit,0.375,1,1
on_demand,37,1,26.0,0,12,0,restore,0.6369047619047619,1,1
on_demand,11,2,28.0,3,31,31,hit,0.16666666666666666,1,1
on_demand,36,0,28.0,0,0,0,hit,0.4166666666666667,1,1
on_demand,28,1,28.5,0,18,5,restore,1.3309523809523816,1,1
on_demand,8,0,30.0,1,0,0,hit,0.5,1,1
on_demand,9,0,30.0,2,0,0,hit,0.3333333333333333,1,1
on_demand,40,1,30.0,3,12,0,transfer,0.975,1,1
on_demand,18,2,31.0,0,30,30,hit,0.125,1,1
on_demand,16,0,32.0,0,0,0,hit,0.375,1,1
on_demand,11,3,36.0,3,39,39,hit,0.125,1,1
on_demand,0,1,36.5,0,14,14,hit,0.125,1,1
on_demand,8,1,36.5,1,17,17,hit,0.20833333333333334,1,1
on_demand,47,1,36.5,2,14,14,hit,0.375,1,1
on_demand,40,2,40.0,3,24,24,hit,0.25,1,1
on_demand,36,1,40.5,0,17,17,hit,0.16666666666666666,1,1
on_demand,22,0,42.0,0,0,0,hit,0.625,1,1
on_demand,7,0,43.0,1,0,0,hit,0.6666666666666666,1,1
on_demand,39,0,43.0,2,0,0,hit,0.375,1,1
on_demand,19,1,43.5,2,12,12,hit,0.7833333333333362,1,1
on_demand,18,3,45.0,0,40,40,hit,0.16666666666666666,1,1
on_demand,20,1,47.0,0,16,0,restore,0.8630952380952381,1,1
on_demand,43,0,47.5,1,0,0,hit,0.625,1,1
on_demand,8,2,48.0,1,27,27,hit,0.7916666666666666,1,1
on_demand,26,2,48.0,2,23,23,hit,0.125,1,1
on_demand,40,3,48.0,3,34,34,hit,0.16666666666666666,1,1
on_demand,2,1,48.5,3,14,0,recompute,1.3333333333333335,1,1
on_demand,28,2,48.5,0,30,0,restore,1.4261904761904818,1,1
on_demand,39,1,49.0,2,16,16,hit,0.16666666666666666,1,1
on_demand,33,0,49.5,1,0,0,hit,0.4583333333333333,1,1
on_demand,4,0,51.5,0,0,0,hit,0.625,1,1
on_demand,27,0,51.5,1,0,0,hit,0.375,1,1
on_demand,24,1,52.5,1,19,0,restore,0.9285714285714286,1,1
on_demand,12,1,53.0,0,13,0,restore,0.7559523809523809,1,1
on_demand,0,2,54.0,0,22,0,restore,1.0916666666666623,1,1
on_demand,15,1,58.5,2,19,19,hit,0.25,1,1
on_demand,32,1,58.5,0,22,0,restore,1.0357142857142856,1,1
on_demand,30,0,59.0,1,0,0,hit,0.5,1,1
on_demand,39,2,59.0,2,26,26,hit,0.375,1,1
on_demand,40,4,60.5,3,40,40,hit,0.16666666666666666,1,1
on_demand,13,0,61.0,0,0,0,hit,0.6666666666666666,1,1
on_demand,36,2,61.0,0,23,0,restore,2.0630952380952383,0,1
on_demand,3,2,62.5,0,33,0,restore,2.7750000000000017,0,1
on_demand,35,0,64.0,1,0,0,hit,0.375,1,1
on_demand,1,0,65.0,1,0,0,hit,0.3333333333333333,1,1
