policy,requests,slo_successes,slo_goodput_rps,slo_attainment,p99_ttft_s,transfer_blocks_per_success,restore_blocks_per_success,recompute_blocks_per_success,hbm_block_seconds_per_success,unused_preparation_ratio,demoted_blocks,cancelled_batches,overlapping_turns,seed
on_demand,129,126,0.525,0.9767441860465116,2.575666666666667,0.09523809523809523,5.2063492063492065,0.1111111111111111,1062.2460317460318,0.0,1654,0,0,1
eager_full,129,128,0.5333333333333333,0.9922480620155039,1.9100000000000021,9.0,15.6953125,3.1953125,1039.25,0.7472815898012748,4536,4,0,1
repkv,129,126,0.525,0.9767441860465116,2.1707142857142885,0.10317460317460317,5.880952380952381,0.1111111111111111,1060.7301587301588,1.0,1740,0,0,1
on_demand,159,145,0.6041666666666666,0.9119496855345912,3.6411666666666607,0.503448275862069,8.510344827586207,2.372413793103448,917.4068965517241,0.0,2984,0,0,2
eager_full,159,140,0.5833333333333334,0.8805031446540881,3.143904761904757,9.235714285714286,24.25,2.7857142857142856,944.2321428571429,0.9065855404438081,6416,7,0,2
repkv,159,154,0.6416666666666667,0.9685534591194969,2.986499999999994,0.38311688311688313,8.909090909090908,0.9415584415584416,872.3733766233767,1.0,2919,0,0,2
on_demand,161,151,0.6291666666666667,0.937888198757764,2.801428571428577,0.24503311258278146,8.688741721854305,0.8609271523178808,843.4139072847682,0.0,2820,0,0,3
eager_full,161,149,0.6208333333333333,0.9254658385093167,3.038095238095239,10.315436241610739,19.006711409395972,3.4832214765100673,878.0503355704698,0.8020081581424537,6227,9,0,3
repkv,161,148,0.6166666666666667,0.9192546583850931,3.2171428571428464,0.2635135135135135,8.567567567567568,1.9797297297297298,847.7533783783783,0.9861111111111112,2948,0,0,3
on_demand,148,138,0.575,0.9324324324324325,3.0514523809523775,0.15217391304347827,8.630434782608695,0.5579710144927537,943.6521739130435,0.0,2478,0,0,4
eager_full,148,138,0.575,0.9324324324324325,2.6638690476190474,11.159420289855072,20.869565217391305,3.739130434782609,939.5072463768116,0.8100508525276697,6150,5,0,4
repkv,148,141,0.5875,0.9527027027027027,2.5657380952380904,0.14184397163120568,8.24822695035461,0.75177304964539,914.7695035460993,0.6708860759493671,2512,0,0,4
on_demand,137,125,0.5208333333333334,0.9124087591240876,3.4239523809523793,0.32,7.792,1.52,994.928,0.0,2316,0,0,5
eager_full,137,128,0.5333333333333333,0.9343065693430657,3.097238095238091,9.9375,16.53125,3.5234375,1015.32421875,0.8365164247517188,4947,5,0,5
repkv,137,129,0.5375,0.9416058394160584,3.1437619047619063,0.10077519379844961,8.496124031007753,1.2325581395348837,981.9651162790698,0.9076923076923077,2384,0,0,5
