policy,sid,turn,arrival_s,node,history_blocks,missing_blocks,recovery,ttft_s,slo_success,seed
on_demand,10,0,2.0,0,0,0,hit,0.5416666666666666,1,1
on_demand,13,0,2.0,1,0,0,hit,0.625,1,1
on_demand,24,0,2.0,2,0,0,hit,0.4583333333333333,1,1
on_demand,2,0,2.5,3,0,0,hit,0.5416666666666666,1,1
on_demand,6,0,3.0,0,0,0,hit,0.4166666666666667,1,1
on_demand,8,0,3.0,1,0,0,hit,0.6666666666666666,1,1
on_demand,11,0,4.0,0,0,0,hit,0.4166666666666667,1,1
on_demand,21,0,5.0,0,0,0,hit,0.5,1,1
on_demand,33,0,5.0,1,0,0,hit,0.4583333333333333,1,1
on_demand,15,0,7.5,0,0,0,hit,0.5,1,1
on_demand,25,0,7.5,1,0,0,hit,0.5,1,1
on_demand,4,0,8.5,1,0,0,hit,0.5,1,1
on_demand,5,0,8.5,2,0,0,hit,0.375,1,1
on_demand,36,0,9.0,0,0,0,hit,0.5,1,1
on_demand,34,0,9.5,2,0,0,hit,0.375,1,1
on_demand,12,0,10.0,0,0,0,hit,0.5416666666666666,1,1
on_demand,9,0,11.0,0,0,0,hit,0.375,1,1
on_demand,31,0,11.0,1,0,0,hit,0.6666666666666666,1,1
on_demand,16,0,11.5,2,0,0,hit,0.5416666666666666,1,1
on_demand,13,1,12.0,1,17,0,hit,0.39999999999999974,1,1
on_demand,18,0,13.5,0,0,0,hit,0.625,1,1
on_demand,7,0,14.0,1,0,0,hit,0.5833333333333334,1,1
on_demand,8,1,14.5,1,18,0,hit,0.6333333333333346,1,1
on_demand,10,1,15.5,0,16,0,hit,0.20833333333333334,1,1
on_demand,35,0,16.5,0,0,0,hit,0.6666666666666666,1,1
on_demand,0,0,17.0,1,0,0,hit,0.375,1,1
on_demand,37,0,17.5,2,0,0,hit,0.6666666666666666,1,1
on_demand,15,1,18.0,0,19,0,hit,0.375,1,1
on_demand,5,1,18.5,2,12,0,hit,0.4333333333333359,1,1
on_demand,24,1,19.5,2,17,0,hit,0.3416666666666698,1,1
on_demand,25,1,20.0,1,16,0,hit,0.3333333333333333,1,1
on_demand,21,1,20.5,0,16,0,hit,0.16666666666666666,1,1
on_demand,9,1,21.0,0,14,0,hit,0.3333333333333333,1,1
on_demand,13,2,22.0,1,30,0,hit,0.3333333333333333,1,1
on_demand,22,0,22.0,0,0,0,hit,0.5833333333333334,1,1
on_demand,34,1,22.5,2,13,0,hit,0.375,1,1
on_demand,26,0,23.0,0,0,0,hit,0.375,1,1
on_demand,18,1,23.5,0,21,0,hit,0.508333333333334,1,1
on_demand,16,1,24.5,2,19,0,hit,0.3333333333333333,1,1
on_demand,17,0,24.5,1,0,0,hit,0.625,1,1
on_demand,10,2,25.5,0,24,24,recompute,2.2083333333333335,0,1
on_demand,14,0,25.5,2,0,0,hit,0.3333333333333333,1,1
on_demand,19,0,26.5,1,0,0,hit,0.4166666666666667,1,1
on_demand,30,0,26.5,2,0,0,hit,0.5833333333333334,1,1
on_demand,7,1,27.0,1,17,0,hit,0.6499999999999997,1,1
on_demand,20,0,28.0,2,0,0,hit,0.4583333333333333,1,1
on_demand,5,2,28.5,2,23,0,hit,0.40833333333333144,1,1
on_demand,35,1,28.5,0,21,15,transfer,0.9583333333333334,1,1
on_demand,3,0,30.0,1,0,0,hit,0.6666666666666666,1,1
on_demand,9,2,31.0,0,24,0,hit,0.375,1,1
on_demand,11,1,31.0,2,13,13,recompute,1.2083333333333333,1,1
on_demand,12,1,31.0,3,16,16,recompute,1.625,1,1
on_demand,0,1,32.0,1,13,0,hit,0.16666666666666666,1,1
on_demand,13,3,32.0,1,43,0,hit,0.7000000000000004,1,1
on_demand,26,1,33.0,0,12,0,hit,0.2916666666666667,1,1
on_demand,6,1,35.5,0,15,15,recompute,1.5416666666666667,1,1
on_demand,15,2,35.5,1,31,31,recompute,2.9583333333333335,0,1
on_demand,16,2,35.5,2,32,0,hit,0.20833333333333334,1,1
on_demand,10,3,36.0,0,32,0,hit,1.6333333333333282,1,1
on_demand,25,2,36.0,3,30,30,recompute,2.6666666666666665,0,1
on_demand,33,1,36.0,2,17,17,recompute,2.0750000000000055,0,1
on_demand,18,2,37.0,0,35,0,hit,1.5666666666666604,1,1
on_demand,24,2,37.5,2,28,28,recompute,3.6416666666666684,0,1
on_demand,28,0,37.5,1,0,0,hit,1.741666666666672,1,1
on_demand,35,2,38.5,0,32,32,recompute,3.3583333333333294,0,1
on_demand,36,1,39.0,3,15,15,recompute,1.6083333333333296,1,1
on_demand,5,3,39.5,1,36,36,transfer,2.0666666666666726,0,1
on_demand,3,1,40.0,3,21,21,transfer,2.208333333333324,0,1
on_demand,12,2,41.0,3,25,0,hit,1.574999999999991,1,1
on_demand,38,0,41.0,2,0,0,hit,1.0166666666666657,1,1
on_demand,22,1,41.5,1,18,18,recompute,2.0916666666666686,0,1
on_demand,8,2,42.0,0,27,27,recompute,2.699999999999991,0,1
on_demand,13,4,42.0,1,58,0,hit,2.31666666666667,0,1
on_demand,34,2,42.5,2,25,25,recompute,2.2083333333333335,0,1
on_demand,17,1,44.5,3,21,21,recompute,2.0416666666666665,0,1
on_demand,0,2,46.0,0,19,19,recompute,1.8333333333333333,1,1
on_demand,10,4,46.0,1,45,45,transfer,2.625,0,1
on_demand,33,2,46.0,2,27,0,hit,0.125,1,1
on_demand,7,2,46.5,3,30,30,recompute,3.0750000000000006,0,1
on_demand,18,3,47.0,0,48,0,hit,1.5000000000000024,1,1
on_demand,30,1,47.0,2,21,21,recompute,2.125,0,1
on_demand,32,0,47.0,1,0,0,hit,2.2583333333333306,0,1
on_demand,2,1,48.5,3,20,0,hit,1.8250000000000028,1,1
on_demand,37,1,48.5,0,22,22,recompute,2.908333333333336,0,1
on_demand,36,2,49.0,3,25,0,hit,2.3000000000000043,0,1
on_demand,21,2,49.5,2,22,22,recompute,2.408333333333336,0,1
on_demand,3,2,50.0,1,29,29,transfer,1.7416666666666667,1,1
on_demand,11,2,50.5,3,23,23,recompute,3.6250000000000075,0,1
on_demand,28,1,50.5,0,18,18,recompute,3.2166666666666734,0,1
on_demand,24,3,54.5,2,41,10,transfer,0.875,1,1
on_demand,19,1,55.5,0,14,14,recompute,1.5416666666666667,1,1
on_demand,1,0,56.0,1,0,0,hit,0.5833333333333334,1,1
on_demand,7,3,57.0,3,43,0,hit,0.20833333333333334,1,1
on_demand,18,4,57.0,0,59,0,hit,0.8499999999999991,1,1
on_demand,14,1,58.0,1,13,13,recompute,1.2916666666666665,1,1
