policy,requests,slo_successes,slo_goodput_rps,slo_attainment,p99_ttft_s,bg_transfer_blocks,bg_recompute_blocks,demand_transfer_blocks,demand_recompute_blocks,hbm_block_seconds,transfer_blocks_per_success,recompute_blocks_per_success,hbm_block_seconds_per_success,prepared_blocks,unused_preparation_ratio,overlapping_turns,seed
on_demand,204,111,0.5045454545454545,0.5441176470588235,7.783750000000023,0,0,682,2756,122891.0,6.1441441441441444,24.82882882882883,1107.126126126126,0,0.0,0,1
eager_full,204,139,0.6318181818181818,0.6813725490196079,6.1558333333333275,1632,110,2634,901,136755.5,30.690647482014388,7.273381294964029,983.8525179856115,1742,0.8415614236509759,0,1
repkv,204,167,0.759090909090909,0.8186274509803921,5.010416666666666,690,84,2192,464,129446.0,17.25748502994012,3.281437125748503,775.125748502994,774,0.5322997416020672,0,1
on_demand,206,114,0.5181818181818182,0.5533980582524272,7.061250000000008,0,0,819,2694,127059.0,7.184210526315789,23.63157894736842,1114.5526315789473,0,0.0,0,2
eager_full,206,144,0.6545454545454545,0.6990291262135923,5.133333333333326,1502,124,2793,684,136000.5,29.82638888888889,5.611111111111111,944.4479166666666,1626,0.7226322263222632,0,2
repkv,206,162,0.7363636363636363,0.7864077669902912,4.26916666666666,746,93,2671,375,128267.5,21.09259259259259,2.888888888888889,791.7746913580247,839,0.6317044100119189,0,2
on_demand,180,127,0.5772727272727273,0.7055555555555556,6.08441666666667,0,0,610,1511,124960.0,4.803149606299213,11.89763779527559,983.9370078740158,0,0.0,0,3
eager_full,180,146,0.6636363636363637,0.8111111111111111,3.412083333333337,1346,84,1568,370,134581.0,19.958904109589042,3.1095890410958904,921.7876712328767,1430,0.7153846153846154,0,3
repkv,180,159,0.7227272727272728,0.8833333333333333,3.549416666666666,422,61,1301,207,127161.0,10.836477987421384,1.6855345911949686,799.7547169811321,483,0.6708074534161491,0,3
on_demand,207,122,0.5545454545454546,0.5893719806763285,7.207166666666679,0,0,801,2475,127330.5,6.565573770491803,20.28688524590164,1043.6926229508197,0,0.0,0,4
eager_full,207,145,0.6590909090909091,0.7004830917874396,5.280666666666666,1718,114,2771,640,134685.0,30.958620689655174,5.2,928.8620689655172,1832,0.8149563318777293,0,4
repkv,207,158,0.7181818181818181,0.7632850241545893,4.832500000000003,736,98,2302,520,125991.0,19.227848101265824,3.911392405063291,797.4113924050633,834,0.6954436450839329,0,4
on_demand,198,120,0.5454545454545454,0.6060606060606061,5.916916666666666,0,0,1007,2308,130312.0,8.391666666666667,19.233333333333334,1085.9333333333334,0,0.0,0,5
eager_full,198,134,0.6090909090909091,0.6767676767676768,4.8650833333333345,1387,106,2807,593,138075.5,31.29850746268657,5.2164179104477615,1030.4141791044776,1493,0.7950435365036839,0,5
repkv,198,169,0.7681818181818182,0.8535353535353535,5.174833333333337,457,103,1842,530,126838.5,13.603550295857989,3.7455621301775146,750.5236686390532,560,0.7339285714285714,0,5
